COMM,DEPTNO,EMPNO,ENAME,HIREDATE,JOB,MGR,SAL
null,20,7369,SMITH,1980-12-17,CLERK,7902,800.00
300.00,30,7499,ALLEN,1981-02-20,SALESMAN,7698,1600.00
500.00,30,7521,WARD,1981-02-22,SALESMAN,7698,1250.00
null,20,7566,JONES,1981-02-04,MANAGER,7839,2975.00
1400.00,30,7654,MARTIN,1981-09-28,SALESMAN,7698,1250.00
null,30,7698,BLAKE,1981-01-05,MANAGER,7839,2850.00
null,10,7782,CLARK,1981-06-09,MANAGER,7839,2450.00
null,20,7788,SCOTT,1987-04-19,ANALYST,7566,3000.00
null,10,7839,KING,1981-11-17,PRESIDENT,null,5000.00
0.00,30,7844,TURNER,1981-09-08,SALESMAN,7698,1500.00
null,20,7876,ADAMS,1987-05-23,CLERK,7788,1100.00
null,30,7900,JAMES,1981-12-03,CLERK,7698,950.00
null,20,7902,FORD,1981-12-03,ANALYST,7566,3000.00
null,10,7934,MILLER,1982-01-23,CLERK,7782,1300.00
